StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q11,Q12,Q6,Q8,Q10,Q100,Q119,Q66,Q67,Q68,Q101,Q120,Q73,Q74,Q75,Q102,Q121,Q78,Q79,Q80,Q103,Q122,Q83,Q84,Q85,Q105,Q123,Q88,Q89,Q90,Q104,Q124,Q93,Q94,Q95,Q145,Q141,Q142,Q143,Q144,Q106,Q125,Q98,Q99,Q100.1,Q107,Q126,Q103.1,Q104.1,Q105.1,Q107.1,Q127,Q108,Q109,Q110,Q111,Q128,Q113,Q114,Q115,Q116,Q129,Q118,Q119.1,Q120.1,Q121.1,Q130,Q118.1,Q123.1,Q124.1,Q125.1,Q29,Item,Meaning,Example,Where/when,Comments,Another?,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,External Data Reference,Distribution Channel,User Language,Is your age greater than 13?,In what range is your age?,What is your age?,What gender or genders do you identify with? (You can choose more than one),"My gender is not listed, I identify as:",Where do you live? (Please provide a suburb name or a postcode),Did you grow up in the same area that you now live in?,Where did you grow up?,Do you know any typically Australian word or expression for something very good?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know any typically Australian word or expression for something very bad?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for someone who is stupid?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for an attractive person of any gender?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for an attractive female?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for an attractive male?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for an unattractive person?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for someone who is arrogant?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for nonsense?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for alcohol?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for being intoxicated?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for someone who does not do their fair share?,What is the word or expression?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Do you know a typically Australian word or expression for any part of the body?,What is the word or expression?,What part of the body does this expression refer to?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Are there other words or expressions you think of as being characteristically Australian?,What is the word or expression?,What does this word or expression mean?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Would you like to add another word or expression?,What is the word or expression?,What does this word or expression mean?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Would you like to add another word or expression?,What is the word or expression?,What does this word or expression mean?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Would you like to add another word or expression?,What is the word or expression?,What does this word or expression mean?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?,Would you like to add another word or expression?,What is the word or expression?,What does this word or expression mean?,Can you provide an example of the word or expression in use?,When and where have you heard this word or expression being used?,Is there anything else you would like to tell us about this word or expression?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID128_TEXT""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID130_TEXT""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID131_TEXT""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID84_TEXT""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID132_TEXT""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID133_TEXT""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID145""}","{""ImportId"":""QID141_TEXT""}","{""ImportId"":""QID142_TEXT""}","{""ImportId"":""QID143_TEXT""}","{""ImportId"":""QID144_TEXT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID134_TEXT""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID100_TEXT""}","{""ImportId"":""QID101""}","{""ImportId"":""QID135_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID104_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID108_TEXT""}","{""ImportId"":""QID109_TEXT""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID111""}","{""ImportId"":""QID137_TEXT""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""QID114_TEXT""}","{""ImportId"":""QID115_TEXT""}","{""ImportId"":""QID116""}","{""ImportId"":""QID138_TEXT""}","{""ImportId"":""QID118_TEXT""}","{""ImportId"":""QID119_TEXT""}","{""ImportId"":""QID120_TEXT""}","{""ImportId"":""QID121""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID127_TEXT""}","{""ImportId"":""QID123_TEXT""}","{""ImportId"":""QID124_TEXT""}","{""ImportId"":""QID125_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}"
2021-07-06 00:27:04,2021-07-06 00:32:25,Survey Preview,100,320,True,2021-07-06 00:32:25,R_Dk5P4ZiGZuKEmwV,,preview,EN,Yes,19 - 40,,Woman,,3144,Yes,,Yes,,,,,Yes,,,,,Yes,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,,,,,Yes,,,,,Yes,,,,,Yes,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-06 00:38:39,2021-07-06 00:38:48,Survey Preview,100,9,True,2021-07-06 00:38:48,R_URREUn79DlOt6uZ,,preview,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-07 18:07:21,2021-07-07 18:10:59,Survey Preview,100,218,True,2021-07-07 18:11:00,R_4HOomWcWN3ZisEN,,preview,EN,Yes,Over 60,,My gender is not listed but I would like to enter it,trans,3054,No,perth,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-07 18:11:08,2021-07-07 18:12:10,Survey Preview,100,62,True,2021-07-07 18:12:11,R_1cUIAgK5f9keMpa,,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-08 21:54:46,2021-07-08 21:54:54,Survey Preview,100,7,True,2021-07-08 21:54:54,R_3IxWPZTpO4AQ6Kl,,preview,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-08 21:55:24,2021-07-08 22:01:19,Survey Preview,100,354,True,2021-07-08 22:01:19,R_1JWyinC8pgnvqQV,,preview,EN,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-15 19:55:07,2021-07-15 19:58:02,Survey Preview,100,174,True,2021-07-15 19:58:02,R_1i8vsWyvA13CE5C,,preview,EN,Yes,19 - 40,,Man,,3810,Yes,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,,,,Yes,,,,,
2021-07-16 14:35:45,2021-07-16 14:38:14,Survey Preview,100,149,True,2021-07-16 14:38:15,R_1eK7LJbwLslVLXr,,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
